Algorithm, Run Number, Matrix size, Time, Blocksize,
1,0,600,0.254,
1,1,600,0.257,
1,2,600,0.312,
1,3,600,0.31,
1,4,600,0.311,
1,5,600,0.309,
1,6,600,0.327,
1,7,600,0.314,
1,8,600,0.312,
1,9,600,0.31,
1,0,1000,3.567,
1,1,1000,3.488,
1,2,1000,3.512,
1,3,1000,2.54,
1,4,1000,3.513,
1,5,1000,2.539,
1,6,1000,3.506,
1,7,1000,2.537,
1,8,1000,3.503,
1,9,1000,2.535,
1,0,1400,20.846,
1,1,1400,20.999,
1,2,1400,20.912,
1,3,1400,20.8,
1,4,1400,20.83,
1,5,1400,20.834,
1,6,1400,20.794,
1,7,1400,20.789,
1,8,1400,20.869,
1,9,1400,20.833,
1,0,1800,45.982,
1,1,1800,46.1,
1,2,1800,45.883,
1,3,1800,45.916,
1,4,1800,45.97,
1,5,1800,45.966,
1,6,1800,45.957,
1,7,1800,45.912,
1,8,1800,45.884,
1,9,1800,46.012,
1,0,2200,91.638,
1,1,2200,91.142,
1,2,2200,91.199,
1,3,2200,91.158,
1,4,2200,91.577,
1,5,2200,91.588,
1,6,2200,90.986,
1,7,2200,91.608,
1,8,2200,91.658,
1,9,2200,91.518,
1,0,2600,161.114,
1,1,2600,159.069,
1,2,2600,159.804,
1,3,2600,159.8,
1,4,2600,160.475,
1,5,2600,160.454,
1,6,2600,159.264,
1,7,2600,160.155,
1,8,2600,160.475,
1,9,2600,160.578,
1,0,3000,270.498,
1,1,3000,270.769,
1,2,3000,267.494,
1,3,3000,271.07,
1,4,3000,270.69,
1,5,3000,271.077,
1,6,3000,269.435,
1,7,3000,269.7,
1,8,3000,267.394,
1,9,3000,268.507,
2,0,600,0.179,
2,1,600,0.172,
2,2,600,0.137,
2,3,600,0.139,
2,4,600,0.138,
2,5,600,0.138,
2,6,600,0.137,
2,7,600,0.138,
2,8,600,0.138,
2,9,600,0.138,
2,0,1000,0.675,
2,1,1000,0.671,
2,2,1000,0.67,
2,3,1000,0.673,
2,4,1000,0.67,
2,5,1000,0.668,
2,6,1000,0.675,
2,7,1000,0.672,
2,8,1000,0.669,
2,9,1000,0.672,
2,0,1400,1.857,
2,1,1400,1.859,
2,2,1400,1.85,
2,3,1400,1.86,
2,4,1400,1.855,
2,5,1400,1.864,
2,6,1400,1.852,
2,7,1400,1.862,
2,8,1400,1.852,
2,9,1400,1.862,
2,0,1800,3.995,
2,1,1800,3.97,
2,2,1800,3.951,
2,3,1800,3.968,
2,4,1800,3.952,
2,5,1800,3.972,
2,6,1800,3.979,
2,7,1800,3.979,
2,8,1800,3.956,
2,9,1800,3.954,
2,0,2200,7.35,
2,1,2200,7.338,
2,2,2200,7.335,
2,3,2200,7.345,
2,4,2200,7.325,
2,5,2200,7.34,
2,6,2200,7.335,
2,7,2200,7.336,
2,8,2200,7.328,
2,9,2200,7.381,
2,0,2600,12.24,
2,1,2600,12.243,
2,2,2600,12.258,
2,3,2600,12.259,
2,4,2600,12.236,
2,5,2600,12.245,
2,6,2600,12.182,
2,7,2600,12.236,
2,8,2600,12.196,
2,9,2600,12.242,
2,0,3000,18.804,
2,1,3000,18.714,
2,2,3000,18.817,
